,time_ind,signal,detected_offline,detected_value_rt,flag,first_detection_time
7616,17617,296.840094370677,0.0,0.5690972222222221,False,
7617,17618,296.840439915198,0.0,0.5680555555555554,False,
7618,17619,296.840785458622,0.0,0.5489583333333333,False,
7619,17620,296.841131000921,0.0,0.5687499999999999,False,
7620,17621,296.84147654207,0.0,0.5475694444444444,False,
7621,17622,296.841822082043,0.0,0.5572916666666666,False,
7622,17623,296.842167620814,0.0,0.5815972222222222,False,
7623,17624,296.842513158357,0.0,0.573263888888889,False,
7624,17625,296.842858694647,0.0,0.5697916666666667,False,
7625,17626,296.843204229658,0.0,0.6048611111111111,False,
7626,17627,296.843549763366,0.0,0.590277777777778,False,
7627,17628,296.843895295744,0.0,0.5805555555555556,False,
7628,17629,296.844240826768,0.0,0.5618055555555557,False,
7629,17630,296.844586356413,0.0,0.5756944444444446,False,
7630,17631,296.844931884655,0.0,0.5579861111111112,False,
7631,17632,296.845277411468,0.0,0.6003472222222221,False,
7632,17633,296.845622936828,0.0,0.582638888888889,False,
7633,17634,296.845968460712,0.0,0.5805555555555555,False,
7634,17635,296.846313983094,0.0,0.5635416666666665,False,
7635,17636,296.84665950395,0.0,0.5885416666666665,False,
7636,17637,296.847005023257,0.0,0.5687500000000001,False,
7637,17638,296.84735054099,0.0,0.5923611111111111,False,
7638,17639,296.847696057127,0.0,0.570486111111111,False,
7639,17640,296.848041571643,0.0,0.5777777777777777,False,
7640,17641,296.848387084514,0.0,0.5621527777777778,False,
7641,17642,296.848732595718,0.0,0.5545138888888889,False,
7642,17643,296.849078105231,0.0,0.5329861111111112,False,
7643,17644,296.84942361303,0.0,0.621527777777778,False,
7644,17645,296.849769119092,0.0,0.6104166666666668,False,
7645,17646,296.849890220863,0.0,0.6034722222222224,False,
7646,17647,296.849795832393,0.0,0.5805555555555556,False,
7647,17648,296.849494619028,0.0,0.5833333333333335,False,
7648,17649,296.84899500489,0.0,0.5604166666666667,False,
7649,17650,296.848305178368,0.0,0.6274305555555556,False,
7650,17651,296.847433097521,0.0,0.6006944444444445,False,
7651,17652,296.846386495392,0.0,0.5784722222222222,False,
7652,17653,296.845172885225,0.0,0.5534722222222223,False,
7653,17654,296.843799565588,0.0,0.5715277777777777,False,
7654,17655,296.84227362541,0.0,0.5409722222222223,False,
7655,17656,296.840601948926,0.0,0.5499999999999999,False,
7656,17657,296.838791220523,0.0,0.517013888888889,False,
7657,17658,296.836847929504,0.0,0.4736111111111111,False,
7658,17659,296.83477837476,0.0,0.4499999999999999,False,
7659,17660,296.832588669349,0.0,0.4138888888888888,False,
7660,17661,296.83028474499,0.0,0.37986111111111115,False,
7661,17662,296.827872356467,0.0,0.3600694444444445,False,
7662,17663,296.825357085947,0.0,0.3395833333333334,False,
7663,17664,296.822744347213,0.0,0.3236111111111111,False,
7664,17665,296.820039389808,0.0,0.3038194444444445,False,
7665,17666,296.817247303096,0.0,0.2690972222222222,False,
7666,17667,296.814373020245,0.0,0.2364583333333333,False,
7667,17668,296.811421322118,0.0,0.21770833333333334,False,
7668,17669,296.808396841089,0.0,0.1940972222222222,False,
7669,17670,296.805304064778,0.0,0.146875,False,
7670,17671,296.802147339708,0.0,0.13333333333333333,False,
7671,17672,296.798930874879,0.0,0.11909722222222223,False,
7672,17673,296.795658745269,0.0,0.10590277777777776,False,
7673,17674,296.79233489526,0.0,0.08333333333333333,False,
7674,17675,296.788963141986,0.0,0.07291666666666667,False,
7675,17676,296.785547178611,0.0,0.0701388888888889,False,
7676,17677,296.782090577533,0.0,0.06215277777777777,False,
7677,17678,296.778596793516,0.0,0.05347222222222222,False,
7678,17679,296.775069166752,0.0,0.046875,False,
7679,17680,296.77151092586,0.0,0.026041666666666668,False,
7680,17681,296.767925190808,0.0,0.021180555555555557,False,
7681,17682,296.764314975776,0.0,0.015972222222222224,False,
