T1,Q1,AT1,I1,V1
292.15,2.44646340900246,0,15,-3.82387365136594
292.15,2.44616424319173,0,15,-3.82391570919718
292.15,2.44586644657977,0,15,-3.82395769314752
292.15,2.44557000110842,0,15,-3.82399960416094
292.15,2.44527488894957,0,15,-3.82404144316986
292.15,2.44498109250247,0,15,-3.82408321109532
292.15,2.44468859439098,0,15,-3.82412490884706
292.15,2.44439737746089,0,15,-3.82416653732366
292.15,2.44410742477726,0,15,-3.82420809741272
292.15,2.4438187196217,0,15,-3.82424958999092
292.15,2.44353124548982,0,15,-3.82429101592418
292.15,2.4432449860887,0,15,-3.82433237606781
292.15,2.44295992533421,0,15,-3.82437367126657
292.15,2.44267604734853,0,15,-3.82441490235487
292.15,2.44239333645768,0,15,-3.82445607015684
292.15,2.44211177718907,0,15,-3.82449717548644
292.15,2.44183135426888,0,15,-3.82453821914763
292.15,2.44155205261995,0,15,-3.82457920193447
292.15,2.44127385735908,0,15,-3.82462012463119
292.15,2.44099675379488,0,15,-3.82466098801237
292.15,2.44072072742523,0,15,-3.82470179284301
292.15,2.44044576393523,0,15,-3.82474253987868
292.15,2.44017184919468,0,15,-3.82478322986558
292.15,2.43989896925592,0,15,-3.82482386354069
292.15,2.43962711035164,0,15,-3.82486444163188
292.15,2.4393562588925,0,15,-3.82490496485799
292.15,2.43908640146515,0,15,-3.82494543392896
292.15,2.43881752482991,0,15,-3.82498584954592
292.15,2.43854961591879,0,15,-3.82502621240129
292.15,2.43828266183317,0,15,-3.82506652317893
292.15,2.43801664984193,0,15,-3.82510678255416
292.15,2.43775156737917,0,15,-3.82514699119394
292.15,2.43748740204242,0,15,-3.82518714975691
292.15,2.43722414159038,0,15,-3.82522725889352
292.15,2.43696177394108,0,15,-3.82526731924614
292.15,2.43670028716974,0,15,-3.82530733144909
292.15,2.43643966950719,0,15,-3.82534729612882
292.15,2.43617990933743,0,15,-3.82538721390395
292.15,2.43592099519611,0,15,-3.82542708538538
292.15,2.43566291576849,0,15,-3.82546691117638
292.15,2.43540565988764,0,15,-3.82550669187267
292.15,2.43514921653252,0,15,-3.82554642806252
292.15,2.43489357482625,0,15,-3.82558612032686
292.15,2.43463872403424,0,15,-3.8256257692393
292.15,2.43438465356249,0,15,-3.82566537536632
292.15,2.43413135295577,0,15,-3.82570493926725
292.15,2.43387881189582,0,15,-3.82574446149442
292.15,2.43362702019991,0,15,-3.82578394259322
292.15,2.43337596781873,0,15,-3.82582338310221
292.15,2.43312564483509,0,15,-3.82586278355315
292.15,2.43287604146201,0,15,-3.82590214447113
292.15,2.43262714804126,0,15,-3.82594146637463
292.15,2.43237895504168,0,15,-3.82598074977559
292.15,2.43213145305742,0,15,-3.82601999517951
292.15,2.43188463280666,0,15,-3.82605920308551
292.15,2.43163848512981,0,15,-3.82609837398642
292.15,2.43139300098807,0,15,-3.82613750836884
292.15,2.43114817146184,0,15,-3.82617660671322
292.15,2.43090398774936,0,15,-3.82621566949394
292.15,2.43066044116509,0,15,-3.82625469717938
292.15,2.43041752313812,0,15,-3.826293690232
292.15,2.43017522521103,0,15,-3.8263326491084
292.15,2.42993353903825,0,15,-3.82637157425936
292.15,2.42969245638454,0,15,-3.82641046613
292.15,2.42945196912396,0,15,-3.82644932515975
292.15,2.42921206923802,0,15,-3.82648815178247
292.15,2.42897274881469,0,15,-3.82652694642652
292.15,2.42873400004677,0,15,-3.8265657095148
292.15,2.42849581523078,0,15,-3.82660444146483
292.15,2.42825818676545,0,15,-3.82664314268882
292.15,2.42802110715056,0,15,-3.82668181359373
292.15,2.42778456898549,0,15,-3.82672045458133
292.15,2.42754856496816,0,15,-3.82675906604826
292.15,2.42731308789359,0,15,-3.82679764838612
292.15,2.42707813065269,0,15,-3.82683620198148
292.15,2.42684368623111,0,15,-3.82687472721597
292.15,2.42660974770794,0,15,-3.82691322446638
292.15,2.42637630825462,0,15,-3.82695169410463
292.15,2.42614336113354,0,15,-3.82699013649791
292.15,2.4259108996971,0,15,-3.82702855200868
292.15,2.42567891738653,0,15,-3.82706694099478
292.15,2.42544740773053,0,15,-3.82710530380944
292.15,2.42521636434438,0,15,-3.82714364080137
292.15,2.42498578092872,0,15,-3.82718195231477
292.15,2.4247556512685,0,15,-3.82722023868946
292.15,2.42452596923175,0,15,-3.82725850026086
292.15,2.42429672876872,0,15,-3.82729673736008
292.15,2.42406792391066,0,15,-3.82733495031396
292.15,2.4238395487688,0,15,-3.82737313944513
292.15,2.42361159753341,0,15,-3.82741130507207
292.15,2.42338406447263,0,15,-3.82744944750914
292.15,2.42315694393159,0,15,-3.82748756706664
292.15,2.42293023033127,0,15,-3.82752566405087
292.15,2.42270391816768,0,15,-3.82756373876416
292.15,2.42247800201073,0,15,-3.82760179150492
292.15,2.42225247650342,0,15,-3.82763982256773
292.15,2.42202733636071,0,15,-3.82767783224331
292.15,2.42180257636883,0,15,-3.82771582081864
292.15,2.42157819138399,0,15,-3.82775378857697
292.15,2.42135417633185,0,15,-3.82779173579787
292.15,2.42113052620641,0,15,-3.82782966275729
292.15,2.42090723606916,0,15,-3.82786756972758
292.15,2.42068430104803,0,15,-3.82790545697755
292.15,2.42046171633697,0,15,-3.8279433247725
292.15,2.42023947719457,0,15,-3.82798117337432
292.15,2.42001757894351,0,15,-3.82801900304142
292.15,2.41979601696966,0,15,-3.8280568140289
292.15,2.41957478672123,0,15,-3.82809460658849
292.15,2.41935388370794,0,15,-3.82813238096866
292.15,2.41913330350025,0,15,-3.82817013741462
292.15,2.41891304172859,0,15,-3.82820787616837
292.15,2.41869309408247,0,15,-3.82824559746875
292.15,2.41847345630978,0,15,-3.82828330155147
292.15,2.41825412421599,0,15,-3.82832098864916
292.15,2.41803509366346,0,15,-3.82835865899139
292.15,2.41781636057055,0,15,-3.82839631280472
292.15,2.41759792091096,0,15,-3.82843395031274
292.15,2.41737977071313,0,15,-3.8284715717361
292.15,2.41716190605928,0,15,-3.82850917729254
292.15,2.41694432308483,0,15,-3.82854676719696
292.15,2.41672701797768,0,15,-3.82858434166141
292.15,2.41650998697756,0,15,-3.82862190089515
292.15,2.41629322637513,0,15,-3.82865944510468
292.15,2.41607673251173,0,15,-3.8286969744938
292.15,2.41586050177818,0,15,-3.82873448926358
292.15,2.41564453061457,0,15,-3.82877198961247
292.15,2.41542881550942,0,15,-3.82880947573627
292.15,2.4152133529989,0,15,-3.82884694782821
292.15,2.41499813966655,0,15,-3.82888440607895
292.15,2.41478317214219,0,15,-3.82892185067664
292.15,2.41456844710177,0,15,-3.82895928180693
292.15,2.41435396126647,0,15,-3.82899669965298
292.15,2.4141397114021,0,15,-3.82903410439558
292.15,2.41392569431864,0,15,-3.82907149621305
292.15,2.41371190686954,0,15,-3.8291088752814
292.15,2.41349834595127,0,15,-3.82914624177426
292.15,2.41328500850253,0,15,-3.82918359586297
292.15,2.4130718915039,0,15,-3.82922093771658
292.15,2.41285899197717,0,15,-3.82925826750188
292.15,2.41264630698475,0,15,-3.82929558538346
292.15,2.41243383362928,0,15,-3.8293328915237
292.15,2.41222156905297,0,15,-3.8293701860828
292.15,2.41200951043706,0,15,-3.82940746921883
292.15,2.41179765500132,0,15,-3.82944474108777
292.15,2.41158600000367,0,15,-3.82948200184346
292.15,2.41137454273934,0,15,-3.82951925163774
292.15,2.41116328054073,0,15,-3.82955649062036
292.15,2.41095221077671,0,15,-3.82959371893912
292.15,2.41074133085215,0,15,-3.82963093673978
292.15,2.41053063820746,0,15,-3.82966814416618
292.15,2.4103201303181,0,15,-3.82970534136022
292.15,2.41010980469417,0,15,-3.8297425284619
292.15,2.40989965887982,0,15,-3.8297797056093
292.15,2.40968969045284,0,15,-3.82981687293869
292.15,2.40947989702431,0,15,-3.82985403058448
292.15,2.40927027623803,0,15,-3.82989117867926
292.15,2.4090608257701,0,15,-3.82992831735386
292.15,2.40885154332844,0,15,-3.8299654467373
292.15,2.40864242665248,0,15,-3.83000256695691
292.15,2.4084334735127,0,15,-3.83003967813826
292.15,2.4082246817101,0,15,-3.83007678040523
292.15,2.40801604907588,0,15,-3.83011387388003
292.15,2.40780757347105,0,15,-3.83015095868322
292.15,2.40759925278596,0,15,-3.83018803493371
292.15,2.40739108493989,0,15,-3.8302251027488
292.15,2.40718306788077,0,15,-3.83026216224421
292.15,2.40697519958474,0,15,-3.83029921353408
292.15,2.40676747805557,0,15,-3.83033625673099
292.15,2.4065599013247,0,15,-3.83037329194602
292.15,2.40635246745043,0,15,-3.83041031928869
292.15,2.40614517451786,0,15,-3.83044733886707
292.15,2.4059380206383,0,15,-3.83048435078775
292.15,2.40573100394914,0,15,-3.83052135515583
