,dataset_name,severity_description.x,severity_level,Conclusion,second_buy,Label,battery,battery_category,X10_60,X10_75,X10_100,X10_125,X10_150,X40_60,X40_75,X40_100,X40_125,X40_150,X30_75,X30_100,X30_125,X30_150
95,Sorteria-Control-60SOC-cell1,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,TP,47.6,1,SO,Soteria (Control),0.57254902,0.524747475,0.461538462,0.389942529,0.345390071,0.711111111,0.60462963,0.497814208,0.390697674,0.19138297,0.443478261,0.36056338,0.304861111,0.37389417
96,Soteria-Control-0SOC-cell1,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,TP,73.9,1,SO,Soteria (Control),0.330718954,0.313131313,0.2996337,0.274137931,0.261702128,0.596825397,0.498148148,0.404918033,0.346899225,0.311711712,0.476086957,0.379342723,0.348263889,0.298347107
97,Soteria-control-10SOC-cell1,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,TP,53.3,1,SO,Soteria (Control),0.480392157,0.395959596,0.28974359,0.275287356,0.260047281,0.633333333,0.475925926,0.404371585,0.371317829,0.144681937,0.526086957,0.435680751,0.373958333,0.303030303
98,Soteria-control-30SOC-cell1,"Physical effect (pouch swelling), extended joule heating, local reactions – 5",5,TP,-9999,1,SO,Soteria (Control),0.526797386,0.476262626,0.384981685,0.339942529,0.309456265,0.59047619,0.514814815,0.446448087,0.386046512,0.093728491,0.335507246,0.299061033,0.2875,0.332782369
99,Soteria-control-30SOC-cell2,"Physical effect (pouch swelling), extended joule heating, local reactions – 5",5,TP,49.5,1,SO,Soteria (Control),0.513071895,0.411111111,0.320512821,0.307471264,0.291489362,0.642857143,0.538888889,0.372131148,0.312015504,0.18321434,0.39057971,0.266666667,0.244097222,0.321212121
100,Soteria-Control-5010mAh-20SOC,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,TP,61.6,1,SO,Soteria (Control),0.577777778,0.493434343,0.446153846,0.384482759,0.329314421,0.577777778,0.515740741,0.469398907,0.418217054,0.1893432,0.466666667,0.411267606,0.349652778,0.353443526
101,Soteria-Control-5030mAh-10SOC,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,TP,64.1,1,SO,Soteria (Control),0.626797386,0.574747475,0.480586081,0.384482759,0.33356974,0.704761905,0.576851852,0.481967213,0.413565891,0.11732894,0.564492754,0.496244131,0.427430556,0.338842975
102,Soteria-Control-50SOC,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,TP,39.4,1,SO,Soteria (Control),0.453594771,0.365151515,0.31978022,0.304597701,0.294562648,0.56031746,0.442592593,0.366666667,0.337209302,0.31342432,0.604347826,0.503755869,0.427777778,0.320385675
103,Soteria-control-5100mAh-50SOC,"Physical effect (pouch swelling), rupture of pouch, gas release –  6",6,TP,50.6,1,SO,Soteria (Control),0.546405229,0.482323232,0.454212454,0.406034483,0.362884161,0.631746032,0.605555556,0.509289617,0.428682171,0.09809823,0.287681159,0.254929577,0.198958333,0.398347107
104,Soteria-Control-5100mAh-55SOC,"Physical effect (pouch swelling), rupture of pouch, gas release –  6",6,TP,66.7,1,SO,Soteria (Control),0.565359477,0.534848485,0.475457875,0.418678161,0.367612293,0.642857143,0.55462963,0.457923497,0.402325581,0.19328194,0.147826087,0.198591549,0.207986111,0.366391185
105,Soteria-Control-5120mAh-50SOC,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,TP,58.4,1,SO,Soteria (Control),0.502614379,0.485858586,0.443589744,0.414942529,0.386288416,0.66984127,0.549074074,0.467759563,0.422093023,0.36839214,0.449275362,0.332394366,0.292013889,0.406060606
106,Soteria-SCC-20SOC-5180mAh,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.262091503,0.222222222,0.231501832,0.237643678,0.227895981,0.415873016,0.378703704,0.33442623,0.310077519,0.289489489,0.167391304,0.122065728,0.116319444,0.265564738
107,Soteria-SCC-4160mAh-100SOC-8mm,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.440522876,0.428282828,0.389010989,0.343103448,0.292907801,0.585714286,0.509259259,0.453005464,0.399224806,0.356456456,0.510144928,0.429577465,0.394444444,0.336088154
108,Soteria-SCC-4630mAh-10SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.366013072,0.340909091,0.305494505,0.26408046,0.248699764,0.512698413,0.405555556,0.326229508,0.277131783,0.254354354,0.554347826,0.480751174,0.404861111,0.267217631
109,Soteria-SCC-4700mAh-100SOC-12mm,"No effect, instant local Joule heating, no internal discharge – 1",NA,,-9999,2,SO,Soteria,0.45751634,0.381313131,0.328205128,0.291954023,0.265248227,0.522222222,0.442592593,0.349726776,0.303488372,0.266966967,0.25,0.202347418,0.204861111,0.280440771
110,Soteria-SCC-4720mAh-40SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.392156863,0.350505051,0.318681319,0.301436782,0.292198582,0.622222222,0.52962963,0.438797814,0.397674419,0.366666667,0.618115942,0.521596244,0.419444444,0.340495868
111,Soteria-SCC-4870mah-0SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.603267974,0.466161616,0.361538462,0.326436782,0.303546099,0.944444444,0.717592593,0.450273224,0.393410853,0.353153153,0.20942029,0.135680751,0.100347222,0.341046832
112,Soteria-SCC-5050mAhr-100SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.336601307,0.374747475,0.314652015,0.290229885,0.271631206,0.642857143,0.534259259,0.424043716,0.360852713,0.323723724,0.334782609,0.216901408,0.160416667,0.313498623
113,Soteria-SCC-5070-70SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.240522876,0.262121212,0.251648352,0.265517241,0.26855792,0.544444444,0.458333333,0.375409836,0.358139535,0.341141141,0.115942029,0.075117371,0.055555556,0.312947658
114,Soteria-SCC-5080mAh-20SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.474509804,0.46969697,0.393406593,0.344827586,0.321040189,0.647619048,0.537037037,0.459562842,0.409689922,0.372672673,0.280434783,0.222065728,0.164236111,0.372451791
115,Soteria-SCC-5170mAh-60SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.318954248,0.246464646,0.178754579,0.169444444,0.169444444,0.476190476,0.300925926,0.221857923,0.175968992,0.165165165,0.097826087,0.063380282,0.077083333,0.162534435
116,Soteria-SCC-60SOC-cell1,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.263398693,0.232323232,0.205860806,0.168965517,0.145626478,0.487301587,0.385185185,0.241530055,0.190697674,0.16996997,0.402173913,0.287793427,0.212847222,0.160330579
117,Soteria-SCC-80SOC-cell1,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.441830065,0.389393939,0.361904762,0.31408046,0.271158392,0.596825397,0.49537037,0.421311475,0.349612403,0.313213213,0.370289855,0.279342723,0.261111111,0.292286501
118,Soteria-SCC-90SOC-cell1,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.192810458,0.181818182,0.208791209,0.234482759,0.203073286,0.236507937,0.310185185,0.297814208,0.306589147,0.252552553,0.524637681,0.430516432,0.380902778,0.236639118
